Output from SolidWorks Sustainability
Date: ,04/29/2022
Time: ,7 : 32 PM
SolidWorks Model: ,E:\ACMRESEARCH\FloorPlan1\Batch Model Generation\Batch_Generation_Example.SLDASM

---------- Results for this assembly ----------

 ,Carbon Footprint (kg CO2) ,Energy Consumption (MJ) ,Air Acidification (kg SO2) ,Water Eutrophication (kg PO4)
Material ,1.3749e+07 ,1.79468e+08 ,35061.9 ,3415.64
Manufacturing ,5.29452e+06 ,5.27198e+07 ,74575.7 ,2879.78
Use ,0 ,0 ,0 ,0
End Of Life ,3.6073e+06 ,2.64842e+06 ,1833.68 ,4521.01
Transportation ,733157 ,9.73448e+06 ,9201.63 ,1160.05

Total ,2.3384e+07 ,2.4457e+08 ,120673 ,11976.5 ,

---------- Inputs to Sustainability Analysis ----------

-- Input -- ,-- Value -- , -- Unit --

Built to Last ,100 ,Year
Duration of Use ,1 ,Year
Assembly Process Region ,Asia
Energy required for assembly process? ,No
Assembly Process Fuel Type ,
Assembly Process fuel amount ,0 ,
Use Region ,North America
Energy required for use phase? ,No
Type of use phase energy ,
Use Phase Energy Amount ,0 ,
Rail Transportation ,0 ,km
Truck Transportation ,0 ,km
Ship Transportation ,12392 ,km
Plane Transportation ,0 ,km
Percent Recycled ,33 ,N/A
Percent Incinerated ,13 ,N/A
Percent Landfill ,54 ,N/A
